Seddelnummer;Landingsdato;Fartøy ID;Art FAO (kode);Art FAO (navn);Fangstområde (kode);Fangstområde (navn);Redskap (kode);Rundvekt (kg)
7-7000011698688-3;08.04.2024;2002016624;POK;Sei;05;Røstbanken til Malangsgrunnen;22;33.75
7-7000011698689-3;08.04.2024;2018102813;POK;Sei;05;Røstbanken til Malangsgrunnen;22;2.7
7-7000011698695-8;08.04.2024;2002018863;POK;Sei;05;Røstbanken til Malangsgrunnen;22;430.65
7-7000011698703-3;08.04.2024;1978003876;POK;Sei;05;Røstbanken til Malangsgrunnen;22;40.0
7-7000011698705-7;08.04.2024;2021116575;POK;Sei;05;Røstbanken til Malangsgrunnen;35;467.0
7-7000011698597-8;08.04.2024;1998008880;POK;Sei;06;Helgelandsbanken;22;209.25
7-7000011698630-3;08.04.2024;1987005358;POK;Sei;06;Helgelandsbanken;22;13.5
7-7000011698633-1;08.04.2024;1996005344;POK;Sei;06;Helgelandsbanken;22;202.5
7-7000011698633-2;08.04.2024;1996005344;POK;Sei;06;Helgelandsbanken;22;43.2
7-7000011698647-1;08.04.2024;;POK;Sei;06;Helgelandsbanken;32;2.7
7-7000011698664-3;08.04.2024;1976000510;POK;Sei;06;Helgelandsbanken;22;12.15
7-7000011698677-1;08.04.2024;2007037006;POK;Sei;06;Helgelandsbanken;20;94.5
7-7000011698677-2;08.04.2024;2007037006;POK;Sei;06;Helgelandsbanken;20;37.8
7-7000011698685-3;08.04.2024;2001015483;POK;Sei;06;Helgelandsbanken;22;198.0
6-12033-1;08.04.2024;2001014449;POK;Sei;07;Storegga-Frøyabanken;20;0.0
6-264596-4;08.04.2024;2018107333;POK;Sei;07;Storegga-Frøyabanken;20;2.7
6-264618-6;08.04.2024;2019108973;POK;Sei;07;Storegga-Frøyabanken;20;2749.95
6-264627-2;08.04.2024;2022121497;POK;Sei;07;Storegga-Frøyabanken;20;9.6
6-264633-2;08.04.2024;2000000211;POK;Sei;07;Storegga-Frøyabanken;20;58.05
6-264640-3;08.04.2024;1996000076;POK;Sei;07;Storegga-Frøyabanken;61;85.0
6-264643-2;08.04.2024;2011054868;POK;Sei;07;Storegga-Frøyabanken;20;94.5
6-264644-9;08.04.2024;1975007664;POK;Sei;07;Storegga-Frøyabanken;20;2.7
6-264661-3;08.04.2024;2011053131;POK;Sei;07;Storegga-Frøyabanken;61;40.0
4-3020025-4;08.04.2024;2000013887;POK;Sei;08;Eigersundbanken;22;9.32
4-3020034-3;08.04.2024;1994003398;POK;Sei;08;Eigersundbanken;22;27.41
4-3020034-4;08.04.2024;1994003398;POK;Sei;08;Eigersundbanken;22;214.79
2-4038836-14;08.04.2024;2020115495;POK;Sei;08;Eigersundbanken;22;96.0
2-4038858-1;08.04.2024;2000013360;POK;Sei;08;Eigersundbanken;22;24.0
2-4038872-1;08.04.2024;1983008437;POK;Sei;08;Eigersundbanken;22;81.6
2-4038895-3;08.04.2024;2007040050;POK;Sei;08;Eigersundbanken;22;18.0
2-4038895-4;08.04.2024;2007040050;POK;Sei;08;Eigersundbanken;22;34.8
6-12038-11;09.04.2024;2011054408;POK;Sei;08;Eigersundbanken;51;0.0
7-7000011702134-1;15.04.2024;1991003669;COD;Torsk;03;Øst-Finnmark;22;470.0
7-7000011702143-3;15.04.2024;2009049430;COD;Torsk;03;Øst-Finnmark;22;285.0
7-7000011702146-1;15.04.2024;1991005929;COD;Torsk;03;Øst-Finnmark;22;413.0
7-7000011702158-1;15.04.2024;1994005878;COD;Torsk;03;Øst-Finnmark;33;97.5
7-7000011702158-2;15.04.2024;1994005878;COD;Torsk;03;Øst-Finnmark;33;420.0
7-7000011702158-3;15.04.2024;1994005878;COD;Torsk;03;Øst-Finnmark;33;127.5
7-7000011702164-1;15.04.2024;2001016601;COD;Torsk;03;Øst-Finnmark;61;5500.0
